"org","type3","type5","committees","dm","betweenness"
"AA","private","private",1,0,12.0974889217134
"AB","private","private",1,0,1.35155096011817
"AC","private","private",0,0,3.49089118660758
"AD","private","private",0,0,0
"AE","private","private",0,0,0
"AF","private","private",1,0,2.767109798129
"AG","private","private",1,0,0
"AH","ngoassoc","ngo",0,0,5.71147218119153
"AI","private","private",1,0,11.4303298867553
"AJ","ngoassoc","ngo",0,0,0
"AK","ngoassoc","ngo",0,0,0
"AL","private","private",0,0,0
"AM","ngoassoc","ngo",0,0,0
"AN","private","private",1,0,15.6523879862137
"AO","private","private",0,0,2.73264401772526
"AP","public","party",1,1,0
"AQ","public","party",0,1,0.475135401280158
"AR","public","party",0,1,0
"AS","public","party",0,1,3.23239783357952
"AT","public","party",0,1,3.98818316100443
"AU","public","science",0,0,0
"AV","public","science",0,0,0
"AW","public","science",0,0,0
"AX","public","science",1,0,0
"AY","public","science",1,0,0
"AZ","public","science",1,0,0
"BA","ngoassoc","ngo",1,0,0
"BB","ngoassoc","ngo",1,0,0
"BC","ngoassoc","ngo",0,0,0
"BD","public","gov",2,0,28.0379123584441
"BE","public","gov",2,0,1.72082717872969
"BF","public","gov",2,0,6.46233382570162
"BG","public","gov",0,1,0
"BH","public","gov",1,0,0.849335302806499
